tweetid,timestamp,tweet_type,followers,retweet_id,retweet_count,text,author_id,language,verified,keywords
1.38E+18,2021-04-09T16:07:18.000Z,retweeted,710,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,311948181,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T15:59:26.000Z,retweeted,4912,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,188668572,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T15:20:03.000Z,retweeted,211,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.21E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T09:54:54.000Z,retweeted,178,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.15E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T08:31:24.000Z,retweeted,820,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,2251646168,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T06:44:01.000Z,retweeted,2991,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,8.59E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T06:30:07.000Z,retweeted,2466,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,28191537,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T06:15:43.000Z,retweeted,2301,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,53892155,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T03:52:07.000Z,retweeted,173,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.26E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T03:37:45.000Z,retweeted,3499,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.33E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-09T03:33:56.000Z,retweeted,9535,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.13E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T21:38:25.000Z,retweeted,77,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.21E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T21:05:12.000Z,retweeted,160,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.34E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T19:35:42.000Z,retweeted,124,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,138496038,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T16:42:46.000Z,retweeted,294,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,545665788,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T15:07:35.000Z,retweeted,323,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,8.75E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T07:28:07.000Z,retweeted,1502,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1263023052,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T06:58:46.000Z,retweeted,302,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,712950048,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T06:27:39.000Z,retweeted,912,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,2724120984,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T05:50:14.000Z,retweeted,1470,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,228378417,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T05:18:15.000Z,retweeted,1588,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1359679722,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T04:27:53.000Z,retweeted,2785,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,8.70E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-08T04:20:07.000Z,retweeted,1431,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,141520778,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T22:24:08.000Z,retweeted,750,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,71861956,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T19:33:42.000Z,retweeted,257,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.28E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T18:56:33.000Z,retweeted,165,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,8.57E+17,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T15:51:26.000Z,retweeted,903,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,192886917,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T15:37:48.000Z,retweeted,54,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,1.26E+18,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T15:24:55.000Z,retweeted,3896,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,156266004,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T14:25:28.000Z,retweeted,1812,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,77685764,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T14:23:24.000Z,retweeted,5466,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,29498768,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T14:22:40.000Z,retweeted,1237,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,233589676,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T13:33:30.000Z,retweeted,4702,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,2364035815,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
1.38E+18,2021-04-07T13:29:38.000Z,retweeted,581,1.38E+18,996,RT @The_TUC: Statutory sick pay goes up today from £95.85 to £96.35 a week.  That’s a rise of just 50p a week -  during a global pandemic.…,369982494,en,FALSE,RT Statutory sick pay goes up today from £9585 £9635
